"日期","車號","里程","細項","實收金額","備註","","","","","","","","","","","","","","","","","","","",""
"2020/11/12","EMQ-8328","2509","前後輪外套管1600，前後輪內套管600，齒盤墊片500，螺柱1200，培林前後1500","5400","","","","","","","","","","","","","","","","","","","","",""
"2020/11/12","EMG-2781","31964","ZOO齒盤43T3500，RK前齒650，JZ齒盤座4230","8380","","","","","","","","","","","","","","","","","","","","",""
"2020/11/14","EMG-1032","","ZOO後齒3500","3500","","","","","","","","","","","","","","","","","","","","",""
"2020/11/14","EPF-6855","","Frando後碟3000，Anchor卡鉗3500，Zoo卡座2500，鍍鈦螺絲(含墊片)340","9300","","","","","","","","","","","","","","","","","","","","",""
"2020/11/18","MPR-0199","4879","齒盤墊片500","500","","","","","","","","","","","","","","","","","","","","",""
"2020/11/18","EPF-6566","7396","後煞車皮900","900","","","","","","","","","","","","","","","","","","","","",""
"2020/11/18","EMQ-5222","","烤漆1200，拉桿1700，中柱1800，碟盤2700，ANCHOR對四卡鉗3800，前叉7400","19938","","","","","","","","","","","","","","","","","","","","",""
"2020/11/20","EMQ-5685","9968","齒盤墊片500，ZOO齒盤(黑)3500，前齒850，水行俠前輪2150後輪2250，螺柱1000","10250","","","","","","","","","","","","","","","","","","","","",""
"2020/11/21","","","後齒盤3500，工資1000","4500","","","","","","","","","","","","","","","","","","","","",""
"2020/11/24","EMQ-7386","12901","齒盤墊片500，工資745","1245","","","","","","","","","","","","","","","","","","","","",""
"2020/11/25","EPF-6855","8691","ANCHOR前卡鉗(紅)4800，Frando碟盤4400，(送鍍鈦螺絲)","9200","","","","","","","","","","","","","","","","","","","","",""
"2020/11/26","EMQ-9967","","ZOO齒盤(金)3500，GPRO螺柱1200","4700","","","","","","","","","","","","","","","","","","","","",""
"2020/12/2","EBQ-2988","","新雅置物籃+照地燈=2600(優惠價)","650","","","","","","","","","","","","","","","","","","","","",""
"2020/12/3","ENP-3525","8606","SKF培林650，前輪內套管200，白鐵輪心550，前輪外套管650，BPN來令750","2250","","","","","","","","","","","","","","","","","","","","",""
"2020/12/3","EMQ-0079","","側住2300，後煞車皮1000","3300","","","","","","","","","","","","","","","","","","","","",""
