"日期","車號","里程","細項","實收金額","備註","","","","","","","","","","","","","","","","","","","",""
"2022/4/15","EMQ-8168","25292","原廠大燈3722","3722","","","","","","","","","","","","","","","","","","","","",""
"2022/4/16","EQB-6293","15992","派克隆500","500","282","","","","","","","","","","","","","","","","","","","",""
"2022/4/16","EPD-3001","17497","ZOO後齒3500，5H$850，螺柱1200，EK黑金3500，黑準1780，美容贈","10800","","","","","","","","","","","","","","","","","","","","",""
"2022/4/16","NGH-2828","7175","黑準1790","1790","893","","","","","","","","","","","","","","","","","","","",""
"2022/4/16","EMQ-7919","17947","RCS15/14$19600，CNC黑底紅14500，M50$11800，煞車油(藍2.5)800，你祖母油杯*2/5600，油杯支架600，卡夢擋泥板4500，油管(沒廢)6800，BPM前碟4400，後碟2200，CTRMA電子油門6800，川歐後視鏡座*2/1200，後卡座2500","81000","","","","","","","","","","","","","","","","","","","","",""
"2022/4/18","EMQ-0891","67670","BPM(F)800，齒輪油200，","1000","420","","","","","","","","","","","","","","","","","","","",""
"2022/4/18","EMG-9085","19231","AFAM/2600，5H$850，POSI後靠背2280","5700","3190","","","","","","","","","","","","","","","","","","","",""
"2022/4/19","EQC-7111","4503","PBF後碟220MM$2800，BPM金屬1500，白鐵螺絲40","4340","","","","","","","","","","","","","","","","","","","","",""
"2022/4/19","MCU-7628","127072","齒輪油400","400","","","","","","","","","","","","","","","","","","","","",""
"2022/4/20","EMD-7958","53670","查線800，","800","","","","","","","","","","","","","","","","","","","","",""
"2022/4/20","EMT-8709","9762","KOSO鍊條蓋1100，螺絲+墊片180","1280","","","","","","","","","","","","","","","","","","","","",""
"2022/4/20","EMR-7072","","估價1000，載車1500","2500","","","","","","","","","","","","","","","","","","","","",""
"2022/4/20","EMK-9111","9132","工資400(含氣嘴","400","","","","","","","","","","","","","","","","","","","","",""
"2022/4/20","EMQ-7919","17957","鈦螺絲12660，薄˙煞車開關*2/3000，滾真2880，調整螺絲1100，卡夢土除3199，滑塊1000，","23839","","","","","","","","","","","","","","","","","","","","",""
"2022/4/20","EQB-7753","14851","TT93 110/70-12$2100，螺絲480","2580","","","","","","","","","","","","","","","","","","","","",""
"2022/4/20","EMG-9688","9924","BPM/AK550(F)1200，後大螃蟹BPM$1000","2200","","","","","","","","","","","","","","","","","","","","",""
"2022/4/21","EPZ-2158","18228","TT93 100/90-10$1800，前後BPM1500，二手前碟600","3900","","","","","","","","","","","","","","","","","","","","",""
"2022/4/21","EMQ-7327","23369","巧納包490*2","980","","","","","","","","","","","","","","","","","","","","",""
"2022/4/21","EMQ-7919","18160","Tionly下座2080，錐形*4/800","2880","","","","","","","","","","","","","","","","","","","","",""
"2022/4/21","ENP-1225","7366","舒適握把V2/800","","","","","","","","","","","","","","","","","","","","","",""
"2022/4/22","EQC-6211","3414","前土除(近全新)2500，珠晚2400，銅墊片*8/400，廢SBS/1500，煞車油800，凱瑞斯三角台8000，RR前避震7500。","23100","","","","","","","","","","","","","","","","","","","","",""
"2022/4/22","EMQ-7919","18172","卡夢左右短拉桿4000","4000","","","","","","","","","","","","","","","","","","","","",""
"2022/4/23","ENP-1225","7398","波沛樂前後3400","3400","2200","","","","","","","","","","","","","","","","","","","",""
"2022/4/23","EMZ-9393","21191","手機拉桿工資200","200","","","","","","","","","","","","","","","","","","","","",""
"2022/4/23","EPE-0095","7339","Pokelo齒輪油500","500","272","","","","","","","","","","","","","","","","","","","",""
"2022/4/25","EPR-2222","8954","SPORT後輪2150","","","","","","","","","","","","","","","","","","","","","",""
"2022/4/25","EMD-6067","24836","LMG皮帶8800，APL大燈7500，T扣7200，FASS柵欄4980，前側橡皮300，螺絲*2/400，卡夢前土除3200，套管500，BPM(F)2200","35080","","","","","","","","","","","","","","","","","","","","",""
"2022/4/25","EQB-8276","4087","ZXM腳踏墊1880，水行俠後120/70-12$2050","3930","","","","","","","","","","","","","","","","","","","","",""
"2022/4/26","MCS-0830","109257","18K 1600","1600","","","","","","","","","","","","","","","","","","","","",""
"2022/4/26","EMY-3708","58072","BPM(F)750","750","","","","","","","","","","","","","","","","","","","","",""
"2022/4/27","EMK-9265","8775","波沛樂(R)1700","1700","1100","","","","","","","","","","","","","","","","","","","",""
"2022/4/27","EPR-2222","9216","氣瓶保護套600，FASS矽膠握把1680，加油管200","2480","","","","","","","","","","","","","","","","","","","","",""
"2022/4/27","MMC-6072","28815","超速拉桿1900","1900","1100","","","","","","","","","","","","","","","","","","","",""
"2022/4/27","EMG-7033","12890","長久馬力226MM/3200，PBF(F)1100","4300","","","","","","","","","","","","","","","","","","","","",""
"2022/4/27","EPF-7999","11012","波沛樂(R)1700","1700","1100","","","","","","","","","","","","","","","","","","","",""
"2022/4/28","ENP-6088","9028","MAGGAZI握把套+加油管950","950","","","","","","","","","","","","","","","","","","","","",""
"2022/4/28","EMH-0597","29138","黑準1590，車殼6108，小U950","2540","","","","","","","","","","","","","","","","","","","","",""
"2022/4/29","EMD-2978","30490","波沛樂(R)1700，LMG皮帶組8800，朱婉2000","12500","0","","","","","","","","","","","","","","","","","","","",""
"2022/4/29","NKM-0859","72252","螺絲100，工資50","150","50","","","","","","","","","","","","","","","","","","","",""
"2022/4/29","EPF-3982","55512","油線工資365","365","","","","","","","","","","","","","","","","","","","","",""
"2022/4/29","EPD-7582","8730","小蜂鷹7990，線組500，Frando(R)1000","9450","","","","","","","","","","","","","","","","","","","","",""
"2022/4/30","ENP-1085","61346","波沛樂(R)1700，ZOO後齒3500，5H/850，小蜂鷹7990，","14040","","","","","","","","","","","","","","","","","","","","",""
"2022/4/30","EQD-2586","7060","波沛樂前後3400，鍊條2800","3700","","","","","","","","","","","","","","","","","","","","",""
"2022/4/30","ENS-9351","18073","BPM(R)750，FASS矽膠握把+加油管2080，街口*1.03","2914","","","","","","","","","","","","","","","","","","","","",""
"2022/4/30","MCU-7628","127591","舒適握把V1/工資673，儀表總成4900，下把手蓋1808","","","517400","","","","","","","","","","","","","","","","","","",""
"2022/5/2","EMJ-8860","24129","水行俠(F)100/80-14/2400，Frando(R)1000","3400","1850","","","","","","","","","","","","","","","","","","","",""
"2022/5/2","ENP-7356","14134","皮帶調整，水行俠(R)110/70-12/2000，BPM(R)750","2750","1735","","","","","","","","","","","","","","","","","","","",""
"2022/5/3","EMG-5609","","BPM(R)750，","750","385","","","","","","","","","","","","","","","","","","","",""
"2022/5/3","EPF-0135","11879","勾片$800，Pakelo$500","1300","382","","","","","","","","","","","","","","","","","","","",""
"2022/5/4","EQC-6211","3610","FASS搖臂13800，鍊條座980，鍊條蓋550，白鐵螺絲+墊片520，ZOO後輪心1000，前輪心700，滾真2880","20400","14173","","","","","","","","","","","","","","","","","","","",""
"2022/5/4","EQB-9635","9822","長久226MM$3300，PBF(F)1000，6162$2000，TT93$2100","8400","5155","","","","","","","","","","","","","","","","","","","",""
"2022/5/4","EQB-5101","27459","LMG皮帶8800","8800","5500","","","","","","","","","","","","","","","","","","","",""
"2022/5/4","EQC-7329","11524","上移4300，后土除3500，前RRabs$8000，前Frando$4800，煞車油800，後Brembo黑底紅5300，卡座2500，前碟BPM$3700，後碟PBF$2800，FASS矽膠握把2080，APEXX拉桿1950，油管2900，大牌框(贈3RF，FASS椅墊4980，大牌螺絲320贈，前輪心(鍍鈦950，米其林2750，鍍黑+墊片*2$500，-2000Terry加班","49550","32430","2450","","","","","","","","","","","","","","","","","","",""
"2022/5/4","ENP-1817","28143","TT93$2100，BPM金屬1500","3600","2145","","","","","","","","","","","","","","","","","","","",""
"2022/5/5","EMQ-7919","13452","PBF(R)900","900","400","","","","","","","","","","","","","","","","","","","",""
"2022/5/5","EMD-1098","8405","後碟工資200","200","","","","","","","","","","","","","","","","","","","","",""
"2022/5/5","EQB-9635","9873","PBF(R)1100，握把內管650","1750","780","","","","","","","","","","","","","","","","","","","",""
"2022/5/6","EMG-6969","44461","皮帶調整1K，左開關異常，前煞車皮換上","","","","","","","","","","","","","","","","","","","","","",""
"2022/5/6","EQD-3632","2767","墊子油門6800，大燈調整","6800","4500","","","","","","","","","","","","","","","","","","","",""
"2022/5/6","ENP-1220","34721","後視鏡，條鍊條工資200","200","","","","","","","","","","","","","","","","","","","","",""
"2022/5/6","EQB-2525","5428","烤肉架3400+1000，絞鍊617+33，BPM(R)750","1078","385","4017","","","","","","","","","","","","","","","","","","",""
"2022/5/7","EQC-7329","13080","APL$7500","7500","5054","","","","","","","","","","","","","","","","","","","",""
"2022/5/7","NFK-2626","16765","機油750，齒輪油贈","750","295","","","","","","","","","","","","","","","","","","","",""
"2022/5/9","EPH-1282","21030","波佩樂(F)1900，BPM(F)800","2700","1520","","","","","","","","","","","","","","","","","","","",""
"2022/5/9","EMZ-9393","21941","AFAM前後齒2650，5H(銀)850","3500","1210","","","","","","","","","","","","","","","","","","","",""
"2022/5/9","EMG-9073","3553","前6162$2000，後TT93$2100","4100","2435","","","","","","","","","","","","","","","","","","","",""
"2022/5/10","ENP-1712","60460","SC(R)3000，PBF(R)1000","4000","2350","","","","","","","","","","","","","","","","","","","",""
"2022/5/10","MTG-2238","12868","波佩樂前後3800","3800","2200","","","","","","","","","","","","","","","","","","","",""
"2022/5/11","EPZ-3609","20273","APL$7500","7500","5054","","","","","","","","","","","","","","","","","","","",""
"2022/5/11","MCM-5957","64165","MAGAZI紫鑽2300","2300","1800","","","","","","","","","","","","","","","","","","","",""
"2022/5/11","EMY-3708","59425","9K700","","","","","","","","","","","","","","","","","","","","","",""
"2022/5/12","EPZ-3609","20290","EPIC側柱2100","2100","1100","","","","","","","","","","","","","","","","","","","",""
"2022/5/12","EMK-6810","33982","代工行車紀錄器+後車殼2200，MG1850訂金1000","2200","","","","","","","","","","","","","","","","","","","","",""
"2022/5/13","EMQ-7919","18729","TIonly螺絲440+320+500","1260","630","","","","","","","","","","","","","","","","","","","",""
"2022/5/13","EPG-0213","36670","直流電力盒5500","5500","3400","","","","","","","","","","","","","","","","","","","",""
"2022/5/13","EQM-1111","19767","工資9000，保養850","9850","850","","","","","","","","","","","","","","","","","","","",""
"2022/5/14","EQD-1880","7870","FASS矽膠握把1680，NCY加油管750，刷卡*1.05","2551","1783","","","","","","","","","","","","","","","","","","","",""
"2022/5/16","EPG-0681","11772","PBF(R)1100，BPM(F)800","1900","870","","","","","","","","","","","","","","","","","","","",""
"2022/5/16","EPF-5892","17794","PBF(R)1100，天使胎(F)2700，LMG皮帶組8800，外蓋內齒組13800，齒輪油200，左煞車開關490","27000","15500","","","","","","","","","","","","","","","","","","","",""
"2022/5/17","EMY-8010","11540","MAGAZI握把500，加油管400","900","323","","","","","","","","","","","","","","","","","","","",""
"2022/5/17","EQB-7753","16131","皮帶2400(含墊片，道路救援600，鈦螺絲300","1750","150","1550","","","","","","","","","","","","","","","","","","",""
"2022/5/18","EMH-0597","30589","勾片800，派克龍500，滑塊+調整螺絲2200，波佩樂(特)1700，鈦螺絲500，皮帶1800","7500","3952","","","","","","","","","","","","","","","","","","","",""
"2022/5/18","MJS-8371","23930","齒輪油200，水行俠(F)2400","2600","1500","","","","","","","","","","","","","","","","","","","",""
"2022/5/18","EMK-8612","32257","S98EV$2100","250","","1850","","","","","","","","","","","","","","","","","","",""
"2022/5/18","EQC-7329","13927","ZOO後齒43T$3500，5H$850，AFAM前齒750，EK黑金3500，羅柱850，螃蟹彈簧100贈，預載調整，大燈調整","9400","5560","","","","","","","","","","","","","","","","","","","",""
"2022/5/19","EQC-8276","5466","5H$850，LMG羅柱1200","2050","750","","","","","","","","","","","","","","","","","","","",""
"2022/5/20","EMG-6128","16274","清鍊條300","300","","","","","","","","","","","","","","","","","","","","",""
"2022/5/20","EMY-6936","11309","大牌背板1200，左煞車開關490，前段支架850，下內護蓋720，Apexx1950","4500","1900","710","","","","","","","","","","","","","","","","","","",""
"2022/5/20","EMY-2623","37042","USB工資800，卡座套管贈","800","","","","","","","","","","","","","","","","","","","","",""
"2022/5/21","EQB-8591","19886","清鍊條300","300","","","","","","","","","","","","","","","","","","","","",""
"2022/5/21","EMK-9916","26521","BPM(R)750","750","385","","","","","","","","","","","","","","","","","","","",""
"2022/5/21","ENP-6567","29754","USB工資800，","800","","","","","","","","","","","","","","","","","","","","",""
"2022/5/21","EMQ-7919","18980","Tistar中空5030，SKF(F)650，外內套管650，200","6530","4912","","","","","","","","","","","","","","","","","","","",""
"2022/5/23","EQC-7329","14370","鍍鈦碟盤螺絲*5/800","800","400","","","","","","","","","","","","","","","","","","","",""
"2022/5/23","EMG-6191","6089","珠晚2400+200，SKF(F)800，X2保護套600","3500","500","500","","","","","","","","","","","","","","","","","","",""
"2022/5/23","EPZ-8635","1287","黑準減振1990","1990","1083","","","","","","","","","","","","","","","","","","","",""
"2022/5/23","EMY-3086","35538","新雅充電1500","1500","680","","","","","","","","","","","","","","","","","","","",""
"2022/5/23","EQD-6170","2457","TT93(F)1700，(R)1800，鈦碟盤螺絲900，M50*1.25*2/560*2，墊片30*2","5580","4120","","","","","","","","","","","","","","","","","","","",""
"2022/5/24","EMY-8010","11692","新雅充電1600","1600","950","","","","","","","","","","","","","","","","","","","",""
"2022/5/24","MJQ-2370","21602","保養750，手機支架400，鈦螺絲460，魚目*2/1000，AC2前跌934，AB2後碟783，AC2加油管1200，下懸吊易格斯1850，通氣螺絲110，皮帶輪墊片294，鯊魚王110/70-12/1700，上懸吊臂飾蓋350，FrandoFCF684/4500，川歐卡座2500","12420","6330","3651","","","","","","","","","","","","","","","","","","",""
"2022/5/24","MPR-1835","47365","皮帶2000，Apexx拉桿1850，糯米腸550，波佩樂1900","6300","3350","","","","","","","","","","","","","","","","","","","",""
"2022/5/24","EQB-7753","16574","PBF(F)1000，PBF(R)1100，川歐後碟2800","4900","2300","","","","","","","","","","","","","","","","","","","",""
"2022/5/24","ENP-1817","28671","BPM(F)金屬1800","1800","1120","","","","","","","","","","","","","","","","","","","",""
"2022/5/25","EQD-6170","2482","電子油門6800，一踢及行200，鈦螺絲4690，墊片200，白鐵螺絲80","11870","6977","","","","","","","","","","","","","","","","","","","",""
"2022/5/26","EMQ-8168","28111","二手裸把3600，保護套600，CCD打火機140","4340","70","","","","","","","","","","","","","","","","","","","",""
"2022/5/26","EPZ-8056","1824","APL$7500","7500","5065","","","","","","","","","","","","","","","","","","","",""
"2022/5/27","EPS-0778","7129","RR後避震$4000，前後建大+主角價3000，BPM(R)750","7750","5337","","","","","","","","","","","","","","","","","","","",""
"2022/5/27","EQD-1880","8420","RR後避震$4000*1.05","4200","2864","","","","","","","","","","","","","","","","","","","",""
"2022/5/27","EQB-5101","29669","CITY(F)$2700，勾片800，BPM(F)800","1850","495","2450","","","","","","","","","","","","","","","","","","",""
"2022/5/28","MNB-5660","25923","後視鏡950，握把1650","1210","","1390","","","","","","","","","","","","","","","","","","",""
"2022/5/28","EPF-2358","9781","Apexx拉桿1950，刷卡","2000","1274","","","","","","","","","","","","","","","","","","","",""
"2022/5/28","EMX-9000","8996","EK黑金3500，波佩樂(R)1900，BPM(R)750","6150","3585","","","","","","","","","","","","","","","","","","","",""
"2022/5/28","EQB-9088","608","Apexx1950","1950","1250","","","","","","","","","","","","","","","","","","","",""
"2022/5/28","EMY-8909","4006","水行俠前100/80-14$2400，後110/70-13$2500，5H$特650","5550","3400","","","","","","","","","","","","","","","","","","","",""
"2022/5/30","EQB-2181","10803","3K/572，派克龍500","927","272","150","","","","","","","","","","","","","","","","","","",""
"2022/5/30","MNB-2002","18359","USB工資800","800","","","","","","","","","","","","","","","","","","","","",""
"2022/5/30","EMQ-3322","30182","彈簧工資贈","","","","","","","","","","","","","","","","","","","","","",""
"2022/5/30","EMY-8010","11889","波佩樂(R)1900","1900","1100","","","","","","","","","","","","","","","","","","","",""
"2022/5/30","EMY-2769","9384","黑準減震1990","1990","1083","","","","","","","","","","","","","","","","","","","",""
"2022/5/30","ENP-6573","13695","水行俠110/70-12$2000","2000","1350","","","","","","","","","","","","","","","","","","","",""
"2022/5/31","EQB-7753","16865","金屬油管5800，煞車油800","6600","2953","","","","","","","","","","","","","","","","","","","",""
"2022/5/31","EPG-0213","37565","皮帶調整，導角200","200","","","193211+15910","","","","","","","","","","","","","","","","","",""
"2022/6/1","NJU-7078","7985","FASS 握把2200","2200","1428","","","","","","","","","","","","","","","","","","","",""
"2022/6/1","EPR-2222","11617","MAGAZI後視鏡2800","2800","","","","","","","","","","","","","","","","","","","","",""
"2022/6/1","EQD-1832","2229","MAGAZI後視鏡2000","2000","","","","","","","","","","","","","","","","","","","","",""
"2022/6/1","EPF-6378","41474","BPM前碟3700，PBF(F)1000","4700","2850","","","","","","","","","","","","","","","","","","","",""
"2022/6/1","EQD-6170","2672","速系列13800，搖臂調整螺絲1000，FASS滾真2880","17680","","","","","","","","","","","","","","","","","","","","",""
"2022/6/2","EMJ-8860","28096","SKF(F)650，ZOO內外套管600+250","1500","","","","","","","","","","","","","","","","","","","","",""
"2022/6/4","ENP-3791","26437","DID鍊條油600，新雅置物690，清鍊條300","1590","","","","","","","","","","","","","","","","","","","","",""
"2022/6/4","EMD-3009","14613","中古ZOO一代2000，齒輪油200","2200","","","","","","","","","","","","","","","","","","","","",""
"2022/6/4","ENW-0888","","加高螺絲贈，反牙螺絲20","20","","","","","","","","","","","","","","","","","","","","",""
"2022/6/6","EMQ-2387","18742","BPM後750，緩衝橡膠250","1000","","","","","","","","","","","","","","","","","","","","",""
"2022/6/6","EMQ-8168","28198","開關650(刷卡","","","","","","","","","","","","","","","","","","","","","",""
"2022/6/6","EPF-8686","19764","車殼1000，左煞車開關490","0","","1490","","","","","","","","","","","","","","","","","","",""
"2022/6/7","EQD-1880","8870","BPM(F)800","800","385","","","","","","","","","","","","","","","","","","","",""
"2022/6/7","EQC-8000","4596","側住檔片450","450","","","","","","","","","","","","","","","","","","","","",""
"2022/6/8","EMH-0002","52956","牛角後視鏡2200，烤漆6300，CCD內管(含烤漆7800，PBF前碟4400，FASS矽膠+內管1680+400，AK550$6500，金屬油管2000，天使胎2700，牛角後靠背2280，主腳架1700，三角台2200，集風罩，培林贈，AFAM前齒750。","40910","","","","","","","","","","","","","","","","","","","","",""
"2022/6/9","EMJ-8860","29418","LMG$8800，波佩樂(R)1900，PBF(F)1000，BPM(R)750","12450","","","","","","","","","","","","","","","","","","","","",""
"2022/6/9","EQB-1917","10081","Pakelo齒輪油500","500","272","","","","","","","","","","","","","","","","","","","",""
"2022/6/10","EMQ-5222","17872","9K$672","","","","","","","","","","","","","","","","","","","","","",""
"2022/6/10","EPF-7999","11706","EK$2900","","","","","","","","","","","","","","","","","","","","","",""
"2022/6/10","EQB-2181","","ZOO卡座2000","2000","","","","","","","","","","","","","","","","","","","","",""
"2022/6/10","EMQ-2387","18875","油杯蓋螺絲*4贈，m50黑底紅$13500(含油管螺絲，代工廢sbs機構","13500","","","","","","","","","","","","","","","","","","","","",""
"2022/6/11","EQB-6293","17931","PBF(F)1000，PBF(R)1100","2100","","","","","","","","","","","","","","","","","","","","",""
"2022/6/11","EMY-3039","15160","加厚坐墊1800","1800","800","","","","","","","","","","","","","","","","","","","",""
"2022/6/11","EPF-1959","23737","清鍊條300","300","","","","","","","","","","","","","","","","","","","","",""
"2022/6/13","EMQ-6285","25743","皮帶調整","","","","","","","","","","","","","","","","","","","","","",""
"2022/6/13","EMQ-2387","18963","BPM前碟2700，舒適握把V2$800，NCY加油管750，後煞車處理，前碟盤螺絲鍍鈦*5/800","4250","","800","","","","","","","","","","","","","","","","","","",""
"2022/6/13","EQB-9027","16312","MAGAZI$500，NCY加油管750","1250","","","","","","","","","","","","","","","","","","","","",""
"2022/6/13","EMY-0061","23650","LMG$8800","8800","5500","","","","","","","","","","","","","","","","","","","",""
"2022/6/13","EMQ-7919","19809","鍛造卡夢車體前5000","5000","2800","","","","","","","","","","","","","","","","","","","",""
"2022/6/14","EMW-6060","8599","卡夢定風翼4800，卡夢左右開關5000，側住消音450，銘版200，6K/572，Tronracer後齒(特)2000，PBF(R)1100","13350","","772","","","","","","","","","","","","","","","","","","",""
"2022/6/14","EPF-0908","16849","皮帶調整","","","","","","","","","","","","","","","","","","","","","",""
"2022/6/14","EQD-6170","3072","8*40*4/1280，插銷550，開關1800，A2霧燈(+開關)4200。","7830","1","","","","","","","","","","","","","","","","","","","",""
"2022/6/15","EMJ-8860","30023","皮帶調整","","","","","","","","","","","","","","","","","","","","","",""
"2022/6/15","EPD-3001","18282","行車紀錄器工資2800，白鐵螺絲200，FASS握把6000","9000","","6000","","","","","","","","","","","","","","","","","","",""
"2022/6/16","EQB-2181","11104","卡座工資500，卡鉗代工1000，PBF後碟220$2800，ABS螺絲+墊片100，卡黃100，8*40*2/300，洩油200，墊片40，插銷200，8*25*2/180，Frandp直推5100","10520","","","","","","","","","","","","","","","","","","","","",""
"2022/6/16","EMQ-0891","71425","水行俠2500","2500","","","","","","","","","","","","","","","","","","","","",""
"2022/6/16","ENP-6567","31267","110/70-12波佩樂1900","1900","","","","","","","","","","","","","","","","","","","","",""
"2022/6/16","EMD-6067","25560","皮帶調整。","","","","","","","","","","","","","","","","","","","","","",""
"2022/6/16","EQC-7329","14727","BPM(F)1700","1700","","","","","","","","","","","","","","","","","","","","",""
"2022/6/17","EPF-9388","25142","601$2600，後避震工資200，PBF(F)950","3750","","","","","","","","","","","","","","","","","","","","",""
"2022/6/18","EPU-0823","6","小蜂鷹7990，後鏡頭支架300，線組150，KOSO置物箱1100","9540","","","","","","","","","","","","","","","","","","","","",""
"2022/6/20","ENP-2076","8989","原廠11723，後視鏡2000，水行俠110/70-12$2050，BPM(R)750，中古前叉1800，昌泰風鏡1900","8500","","11700","","","","","","","","","","","","","","","","","","",""
"2022/6/22","ERG-3776","5050","皮帶調整","","","","","","","","","","","","","","","","","","","","","",""
"2022/6/22","EQC-0506","10570","派克龍500，訂金16400","500","","","","","","","","","","","","","","","","","","","","",""
"2022/6/22","EMQ-0891","71816","Frando輻射4800，煞車油400","5200","","","","","","","","","","","","","","","","","","","","",""
"2022/6/22","EQB-5101","31998","皮帶保固","","","","","","","","","","","","","","","","","","","","","",""
"2022/6/22","EQD-6170","3854","派克龍500","500","","","","","","","","","","","","","","","","","","","","",""
"2022/6/23","EMJ-8860","31439","備用電池1300，水泵1800","","","3100","","","","","","","","","","","","","","","","","","",""
"2022/6/23","ENP-9952","15171","3K600，後輪1700","","","2300","","","","","","","","","","","","","","","","","","",""
"2022/6/23","EQB-7753","17941","3K900","","","900","","","","","","","","","","","","","","","","","","",""
"2022/6/24","EQB-5096","25306","CMSR100/80-14$2500，前輪外套管650","3150","","","","","","","","","","","","","","","","","","","","",""
"2022/6/24","EQC-6211","4173","前油管+墊片2000，BPM(F)1300，PBF(R)1100","4400","","","","","","","","","","","","","","","","","","","","",""
"2022/6/24","EPF-6378","43097","BPM後碟2000，BPM(R)750","2750","","","","","","","","","","","","","","","","","","","","",""
"2022/6/25","MPN-0003","11304","RR後避震4000","4000","2800","","","","","","","","","","","","","","","","","","","",""
"2022/6/25","EMQ-7919","","RPM倒叉36000，凱瑞斯三角台10000-4000(折抵，轉向軸承2000，凱瑞斯把手座7800，GOWORKS卡夢把手3900，派克龍600，防爆水管3500，FASS握把套2080，風鏡組1800，鍛造卡夢風鏡2000，左右車體鍛造卡夢7000，中柱彈簧150，","83230","","","","","","","","","","","","","","","","","","","","",""
"2022/6/27","EQD-1880","10197","CCD內管組6800","6800","","","","","","","","","","","","","","","","","","","","",""
"2022/6/27","ENP-9952","15489","代工800","800","","","","","","","","","","","","","","","","","","","","",""
"2022/6/28","EPF-0911","18472","皮帶調整，油門縣650","","","650","","","","","","","","","","","","","","","","","","",""
"2022/6/28","EPF-5375","21012","LMG$8800","8800","5500","","","","","","","","","","","","","","","","","","","",""
"2022/6/29","EMQ-7919","","手機架1550","1550","","","","","","","","","","","","","","","","","","","","",""
"2022/6/29","MPN-0003","11384","大蜂鷹295$9990，5H$850，EK$2900","10840","","2900","","","","","","","","","","","","","","","","","","",""
"2022/6/29","EQV-6666","8634","代工600，NCY加油管750，糯米腸450","1800","","","","","","","","","","","","","","","","","","","","",""
"2022/6/30","EMH-0597","34489","PBF(R)1100，保護套600，6K427","1700","","427","","","","","","","","","","","","","","","","","","",""
"2022/6/30","MCS-0830","112009","6162$2000，BPM/205MM$2700，YX卡座1700，8*25/180，黑底紅7500，金屬油管2500，超速拉桿1500，","18080","","","","","","","","","","","","","","","","","","","","",""
"2022/6/30","EPF-1551","6297","5H$850，波佩樂(R)1900","2750","1500","","","","","","","","","","","","","","","","","","","",""
"2022/6/30","NFK-2626","17579","KOSO牌版700，5W40$750","1450","","","","","","","","","","","","","","","","","","","","",""
"2022/6/30","EPF-0131","11022","二手絞鍊500","500","","110","","","","","","","","","","","","","","","","","","",""
"2022/6/30","MJB-7526","31673","RPM對四3800，煞車油300，NFD$3100，魚目+油管螺絲贈，通氣孔螺絲110","7200","","358390","","","","","","","","","","","","","","","","","","",""
"2022/7/1","EMW-6060","8772","車殼烤漆3200","3200","2000","","","","","","","","","","","","","","","","","","","",""
"2022/7/1","EMW-6315","18210","糯米腸+加油管850，中古車殼2400，惡搞把(鋁合金2100，油門線680，ZOO上移4500，襯版200","9850","","880","","","","","","","","","","","","","","","","","","",""
"2022/7/2","EMY-7692","16677","皮帶調整","","","","","","","","","","","","","","","","","","","","","",""
"2022/7/2","MHQ-6100","37921","6K$427，MAGAZI500","500","300","427","","","","","","","","","","","","","","","","","","",""
"2022/7/2","EPG-0213","39609","APEXX外掛式2480/zoo大牌上移4500/大牌框1200/接線800","8980","","","","","","","","","","","","","","","","","","","","",""
"2022/7/2","EMQ-7919","20127","Proti 165x2=330/工資100/","430","","","","","","","","","","","","","","","","","","","","",""
"2022/7/3","EQB-7599","32807","工資200","200","","","","","","","","","","","","","","","","","","","","",""
"2022/7/5","MKW-7623","18610","加油管400/烤漆6300/儀表套650/裸把1490/粿把座2790/油門線650/牌照燈贈/轉向照地2300/油杯套450/徽標S2 240， 工資1000","16030","","","","","","","","","","","","","","","","","","","","",""
"2022/7/5","EQB-5101","33260","Apexx拉稈1850","1850","1250","","","","","","","","","","","","","","","","","","","",""
"2022/7/5","EWD-8102","17666","9NB一對5800*2/11600，","9750","","","","","","","","","","","","","","","","","","","","",""
"2022/7/5","ENP-8305","17304","波沛樂1900","1900","1000","","","","","","","","","","","","","","","","","","","",""
"2022/7/6","EMY-1213","28028","APL$7500/","7500","5056","","","","","","","","","","","","","","","","","","","",""
"2022/7/6","EMY-2253","33312","AFAM前後齒盤2650/5H藍850/螺柱1200/培林850/握把套550","6100","","","","","","","","","","","","","","","","","","","","",""
"2022/7/6","EQD-2586","8087","FASS矽膠1680/SB後避震2000/工資1200","4880","","","","","","","","","","","","","","","","","","","","",""
"2022/7/6","ERE-6666","30557","接線500","500","","","","","","","","","","","","","","","","","","","","",""
"2022/7/6","ERF-2193","10496","清潔400/前來令1000","1400","","","","","","","","","","","","","","","","","","","","",""
"2022/7/7","EMH-0597","35212","NCY260.4000/BPM前對四1100","5000","","","","","","","","","","","","","","","","","","","","",""
"2022/7/7","EMT-8709","9973","","","","","","","","","","","","","","","","","","","","","","",""
"2022/7/7","EMD-6067","25801","勾片800","800","","","","","","","","","","","","","","","","","","","","",""
"2022/7/7","MGD-5251","19738","BPM(R)750/刷卡","750","","","","","","","","","","","","","","","","","","","","",""
"2022/7/8","EQB-6293","19002","水行俠(F)2400/EV(R)2300/LMaG8800/內齒6800/勾片800/Pakelo600","20900","","","","","","","","","","","","","","","","","","","","",""
"2022/7/8","EMH-5819","7415","P800(R)1900/5H(黑)1850/","3750","","","","","","","","","","","","","","","","","","","","",""
"2022/7/8","EMK-8612","32618","省力中柱1800","1800","","","","","","","","","","","","","","","","","","","","",""
